date,time,state,city,latitude,longitude,temperature_2m,relativehumidity_2m,rain,windspeed_10m,weathercode,description
2024-07-12,09:00:00,Johor,Johor Bahru,1.4556,103.7611,28.4,82,0.0,3.4,2,State of sky on the whole unchanged
2024-07-12,09:00:00,Johor,Muar,2.05,102.56,27.0,92,0.0,3.1,3,Clouds generally forming or developing
2024-07-12,09:00:00,Selangor,Shah Alam,3.0833,101.5333,26.7,84,0.0,2.5,3,Clouds generally forming or developing
2024-07-12,09:00:00,Johor,Kluang,2.0336,103.3194,27.1,87,0.0,0.8,3,Clouds generally forming or developing
2024-07-12,09:00:00,Johor,Batu Pahat,1.85,102.93,27.0,89,0.0,1.9,3,Clouds generally forming or developing
2024-07-12,09:00:00,Pahang,Raub,3.7931,101.8569,25.6,88,0.0,1.6,3,Clouds generally forming or developing
2024-07-12,09:00:00,Sarawak,Kuching,1.5397,110.3542,27.3,79,0.0,4.3,1,Clouds generally dissolving or becoming less developed
2024-07-12,09:00:00,Kedah,Sungai Petani,5.65,100.48,26.4,88,0.0,2.9,3,Clouds generally forming or developing
2024-07-12,08:00:00,Selangor,Petaling Jaya,3.1073,101.6067,25.7,88,0.0,1.6,3,Clouds generally forming or developing
2024-07-12,08:00:00,Pulau Pinang,George Town,5.4145,100.3292,26.9,87,0.0,3.2,3,Clouds generally forming or developing
2024-07-12,08:00:00,Pulau Pinang,Butterworth,5.3992,100.3639,27.0,87,0.0,3.2,3,Clouds generally forming or developing
2024-07-12,08:00:00,Sabah,Kota Kinabalu,5.975,116.0725,27.4,72,0.0,4.8,3,Clouds generally forming or developing
2024-07-12,08:00:00,Perak,Ipoh,4.6,101.07,25.7,85,0.0,1.3,3,Clouds generally forming or developing
2024-07-12,08:00:00,Terengganu,Cukai,4.2332,103.4479,26.8,87,0.0,4.9,3,Clouds generally forming or developing
2024-07-12,08:00:00,Selangor,Klang,3.0333,101.45,25.4,92,0.0,3.4,3,Clouds generally forming or developing
2024-07-12,08:00:00,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,25.5,87,0.0,3.6,3,Clouds generally forming or developing
2024-07-12,08:00:00,Perlis,Kangar,6.4333,100.2,26.0,95,0.0,1.1,2,State of sky on the whole unchanged
2024-07-12,08:00:00,Sabah,Tawau,4.2448,117.8911,26.4,88,0.0,5.4,2,State of sky on the whole unchanged
2024-07-12,08:00:00,Perak,Teluk Intan,4.0259,101.0213,24.8,90,0.0,4.1,80,"Rain shower(s), slight"
2024-07-12,08:00:00,Labuan,Labuan,5.2803,115.2475,26.6,90,0.0,4.1,80,"Rain shower(s), slight"
2024-07-12,08:00:00,Sarawak,Miri,4.4028,113.9933,26.0,91,0.0,6.8,2,State of sky on the whole unchanged
2024-07-12,08:00:00,Johor,Johor Bahru,1.4556,103.7611,27.0,88,0.0,1.0,2,State of sky on the whole unchanged
2024-07-12,08:00:00,Pahang,Kuantan,3.8167,103.3333,27.1,84,0.0,5.0,3,Clouds generally forming or developing
2024-07-12,08:00:00,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,25.2,94,0.0,2.2,3,Clouds generally forming or developing
2024-07-12,08:00:00,Selangor,Shah Alam,3.0833,101.5333,25.7,88,0.0,1.6,3,Clouds generally forming or developing
2024-07-12,08:00:00,Johor,Muar,2.05,102.56,26.3,94,0.0,4.1,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-12,08:00:00,Pahang,Raub,3.7931,101.8569,23.7,95,0.0,1.5,3,Clouds generally forming or developing
2024-07-12,08:00:00,Johor,Kluang,2.0336,103.3194,24.9,91,0.0,0.8,3,Clouds generally forming or developing
2024-07-12,08:00:00,Sabah,Lahad Datu,5.03,118.34,26.7,86,0.0,3.7,3,Clouds generally forming or developing
2024-07-12,08:00:00,Sarawak,Kuching,1.5397,110.3542,25.3,89,0.0,1.8,1,Clouds generally dissolving or becoming less developed
2024-07-12,08:00:00,Pahang,Kuala Lipis,4.184,102.042,24.6,94,0.0,2.2,3,Clouds generally forming or developing
2024-07-12,08:00:00,Kedah,Alor Setar,6.1167,100.3667,25.4,95,0.0,2.5,3,Clouds generally forming or developing
2024-07-12,08:00:00,Perak,Taiping,4.85,100.7333,27.0,88,0.0,3.4,3,Clouds generally forming or developing
2024-07-12,08:00:00,Melaka,Melaka,2.1889,102.2511,25.4,95,0.0,4.0,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-12,08:00:00,Sarawak,Sibu,2.3,111.8167,24.7,100,0.0,2.1,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-12,08:00:00,Terengganu,Kuala Terengganu,5.3303,103.1408,25.2,96,0.0,1.8,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-12,08:00:00,Putrajaya,Putrajaya,2.93,101.69,24.8,95,0.0,1.1,3,Clouds generally forming or developing
2024-07-12,08:00:00,Kelantan,Kota Bharu,6.1333,102.25,25.0,95,0.0,4.7,3,Clouds generally forming or developing
2024-07-12,08:00:00,Sarawak,Bintulu,3.17,113.03,26.2,93,0.0,6.1,3,Clouds generally forming or developing
2024-07-12,08:00:00,Negeri Sembilan,Seremban,2.7297,101.9381,25.3,94,0.0,1.8,3,Clouds generally forming or developing
2024-07-12,08:00:00,Johor,Batu Pahat,1.85,102.93,24.8,97,0.0,2.4,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-12,08:00:00,Sabah,Sandakan,5.8388,118.1173,25.8,92,0.0,3.1,3,Clouds generally forming or developing
2024-07-12,08:00:00,Kedah,Sungai Petani,5.65,100.48,25.2,92,0.0,2.7,3,Clouds generally forming or developing
2024-07-12,07:00:00,Terengganu,Cukai,4.2332,103.4479,26.8,87,0.0,5.2,3,Clouds generally forming or developing
2024-07-12,07:00:00,Sarawak,Bintulu,3.17,113.03,25.3,98,0.0,3.9,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-12,07:00:00,Pahang,Kuala Lipis,4.184,102.042,24.5,94,0.0,2.2,3,Clouds generally forming or developing
2024-07-12,07:00:00,Kelantan,Kota Bharu,6.1333,102.25,24.7,96,0.0,3.7,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-12,07:00:00,Johor,Batu Pahat,1.85,102.93,24.6,98,0.0,2.7,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-12,07:00:00,Melaka,Melaka,2.1889,102.2511,25.5,94,0.0,3.3,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-12,07:00:00,Perak,Teluk Intan,4.0259,101.0213,24.9,90,0.0,4.4,80,"Rain shower(s), slight"
2024-07-12,07:00:00,Sabah,Sandakan,5.8388,118.1173,24.2,98,0.0,2.0,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-12,07:00:00,Terengganu,Kuala Terengganu,5.3303,103.1408,24.8,96,0.0,1.6,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-12,07:00:00,Negeri Sembilan,Seremban,2.7297,101.9381,25.2,93,0.0,2.5,80,"Rain shower(s), slight"
2024-07-12,07:00:00,Sarawak,Sibu,2.3,111.8167,23.9,99,0.0,1.8,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-12,07:00:00,Pahang,Raub,3.7931,101.8569,23.5,95,0.0,1.8,3,Clouds generally forming or developing
2024-07-12,07:00:00,Sarawak,Kuching,1.5397,110.3542,24.0,91,0.0,1.8,1,Clouds generally dissolving or becoming less developed
2024-07-12,07:00:00,Labuan,Labuan,5.2803,115.2475,25.9,94,0.0,4.4,3,Clouds generally forming or developing
2024-07-12,07:00:00,Sabah,Tawau,4.2448,117.8911,26.0,91,0.0,4.7,3,Clouds generally forming or developing
2024-07-12,07:00:00,Johor,Muar,2.05,102.56,26.8,91,0.0,2.8,3,Clouds generally forming or developing
2024-07-12,07:00:00,Sabah,Lahad Datu,5.03,118.34,25.8,93,0.0,2.8,3,Clouds generally forming or developing
2024-07-12,07:00:00,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,25.5,86,0.0,3.6,3,Clouds generally forming or developing
2024-07-12,07:00:00,Selangor,Klang,3.0333,101.45,25.2,92,0.0,4.7,3,Clouds generally forming or developing
2024-07-12,07:00:00,Perak,Ipoh,4.6,101.07,25.5,86,0.0,0.8,3,Clouds generally forming or developing
2024-07-12,07:00:00,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,25.0,95,0.0,2.9,3,Clouds generally forming or developing
2024-07-12,07:00:00,Kedah,Alor Setar,6.1167,100.3667,25.3,95,0.0,3.1,3,Clouds generally forming or developing
2024-07-12,07:00:00,Sarawak,Miri,4.4028,113.9933,25.2,95,0.0,6.5,3,Clouds generally forming or developing
2024-07-12,07:00:00,Pulau Pinang,Butterworth,5.3992,100.3639,26.9,87,0.0,3.3,3,Clouds generally forming or developing
2024-07-12,07:00:00,Perak,Taiping,4.85,100.7333,27.0,90,0.0,2.5,3,Clouds generally forming or developing
2024-07-12,07:00:00,Pulau Pinang,George Town,5.4145,100.3292,26.9,87,0.0,3.3,3,Clouds generally forming or developing
2024-07-12,07:00:00,Selangor,Petaling Jaya,3.1073,101.6067,25.5,89,0.0,2.8,3,Clouds generally forming or developing
2024-07-12,07:00:00,Pahang,Kuantan,3.8167,103.3333,27.0,86,0.0,4.8,3,Clouds generally forming or developing
2024-07-12,07:00:00,Selangor,Shah Alam,3.0833,101.5333,25.5,89,0.0,2.8,3,Clouds generally forming or developing
2024-07-12,07:00:00,Sabah,Kota Kinabalu,5.975,116.0725,26.0,80,0.0,5.5,3,Clouds generally forming or developing
2024-07-12,07:00:00,Johor,Kluang,2.0336,103.3194,24.4,91,0.0,0.4,3,Clouds generally forming or developing
2024-07-12,07:00:00,Kedah,Sungai Petani,5.65,100.48,25.1,93,0.0,3.3,3,Clouds generally forming or developing
2024-07-12,07:00:00,Perlis,Kangar,6.4333,100.2,25.7,95,0.0,2.1,3,Clouds generally forming or developing
2024-07-12,07:00:00,Johor,Johor Bahru,1.4556,103.7611,26.8,88,0.0,1.3,2,State of sky on the whole unchanged
2024-07-12,07:00:00,Putrajaya,Putrajaya,2.93,101.69,24.6,95,0.0,1.9,3,Clouds generally forming or developing
2024-07-12,06:00:00,Pahang,Kuala Lipis,4.184,102.042,24.6,94,0.0,1.8,3,Clouds generally forming or developing
2024-07-12,06:00:00,Johor,Johor Bahru,1.4556,103.7611,26.8,89,0.0,1.1,2,State of sky on the whole unchanged
2024-07-12,06:00:00,Johor,Batu Pahat,1.85,102.93,25.1,96,0.0,2.8,2,State of sky on the whole unchanged
2024-07-12,06:00:00,Selangor,Petaling Jaya,3.1073,101.6067,25.5,89,0.0,2.5,80,"Rain shower(s), slight"
2024-07-12,06:00:00,Sarawak,Kuching,1.5397,110.3542,24.2,91,0.0,2.2,3,Clouds generally forming or developing
2024-07-12,06:00:00,Johor,Muar,2.05,102.56,27.1,91,0.0,1.1,80,"Rain shower(s), slight"
2024-07-12,06:00:00,Perak,Ipoh,4.6,101.07,25.4,87,0.0,1.5,3,Clouds generally forming or developing
2024-07-12,06:00:00,Kedah,Alor Setar,6.1167,100.3667,25.5,94,0.0,3.8,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-07-12,06:00:00,Kedah,Sungai Petani,5.65,100.48,25.2,93,0.0,3.2,3,Clouds generally forming or developing
2024-07-12,06:00:00,Terengganu,Kuala Terengganu,5.3303,103.1408,24.9,96,0.0,1.1,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-12,06:00:00,Sarawak,Sibu,2.3,111.8167,23.9,100,0.0,1.1,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-12,06:00:00,Pulau Pinang,Butterworth,5.3992,100.3639,27.1,86,0.0,1.3,3,Clouds generally forming or developing
2024-07-12,06:00:00,Sarawak,Miri,4.4028,113.9933,25.1,96,0.0,6.5,3,Clouds generally forming or developing
2024-07-12,06:00:00,Sabah,Sandakan,5.8388,118.1173,23.5,99,0.0,1.8,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-12,06:00:00,Pulau Pinang,George Town,5.4145,100.3292,27.0,86,0.0,1.3,3,Clouds generally forming or developing
2024-07-12,06:00:00,Selangor,Shah Alam,3.0833,101.5333,25.5,89,0.0,2.5,80,"Rain shower(s), slight"
2024-07-12,06:00:00,Perak,Taiping,4.85,100.7333,27.0,90,0.0,2.7,3,Clouds generally forming or developing
2024-07-12,06:00:00,Kelantan,Kota Bharu,6.1333,102.25,24.6,95,0.0,3.1,3,Clouds generally forming or developing
2024-07-12,06:00:00,Melaka,Melaka,2.1889,102.2511,25.8,92,0.0,2.4,80,"Rain shower(s), slight"
2024-07-12,06:00:00,Pahang,Kuantan,3.8167,103.3333,27.1,88,0.0,4.8,3,Clouds generally forming or developing
2024-07-12,06:00:00,Sabah,Lahad Datu,5.03,118.34,25.4,95,0.0,3.1,3,Clouds generally forming or developing
2024-07-12,06:00:00,Putrajaya,Putrajaya,2.93,101.69,24.7,95,0.0,2.1,80,"Rain shower(s), slight"
2024-07-12,06:00:00,Sabah,Kota Kinabalu,5.975,116.0725,26.0,78,0.0,6.2,3,Clouds generally forming or developing
2024-07-12,06:00:00,Perak,Teluk Intan,4.0259,101.0213,25.0,90,0.0,4.6,80,"Rain shower(s), slight"
2024-07-12,06:00:00,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,25.6,86,0.0,4.1,80,"Rain shower(s), slight"
2024-07-12,06:00:00,Labuan,Labuan,5.2803,115.2475,25.8,94,0.0,5.0,3,Clouds generally forming or developing
2024-07-12,06:00:00,Sabah,Tawau,4.2448,117.8911,25.8,93,0.0,4.9,3,Clouds generally forming or developing
2024-07-12,06:00:00,Negeri Sembilan,Seremban,2.7297,101.9381,25.5,92,0.0,1.9,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-07-12,06:00:00,Perlis,Kangar,6.4333,100.2,25.7,96,0.0,2.5,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-12,06:00:00,Terengganu,Cukai,4.2332,103.4479,26.9,90,0.0,7.1,80,"Rain shower(s), slight"
2024-07-12,06:00:00,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,25.0,96,0.0,3.3,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-12,06:00:00,Johor,Kluang,2.0336,103.3194,24.4,91,0.0,0.8,2,State of sky on the whole unchanged
2024-07-12,06:00:00,Pahang,Raub,3.7931,101.8569,23.7,93,0.0,2.4,3,Clouds generally forming or developing
2024-07-12,06:00:00,Selangor,Klang,3.0333,101.45,25.3,92,0.0,4.7,80,"Rain shower(s), slight"
2024-07-12,06:00:00,Sarawak,Bintulu,3.17,113.03,25.2,99,0.0,4.2,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-12,05:00:00,Sarawak,Bintulu,3.17,113.03,25.3,99,0.0,3.4,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-12,05:00:00,Sarawak,Kuching,1.5397,110.3542,24.3,91,0.0,2.2,3,Clouds generally forming or developing
2024-07-12,05:00:00,Kelantan,Kota Bharu,6.1333,102.25,24.6,93,0.0,3.4,3,Clouds generally forming or developing
2024-07-12,05:00:00,Kedah,Sungai Petani,5.65,100.48,25.4,92,0.0,2.5,3,Clouds generally forming or developing
2024-07-12,05:00:00,Sabah,Sandakan,5.8388,118.1173,23.5,99,0.0,2.0,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-12,05:00:00,Sabah,Kota Kinabalu,5.975,116.0725,26.2,77,0.0,6.4,3,Clouds generally forming or developing
2024-07-12,05:00:00,Labuan,Labuan,5.2803,115.2475,25.9,93,0.0,5.2,3,Clouds generally forming or developing
2024-07-12,05:00:00,Selangor,Shah Alam,3.0833,101.5333,25.7,88,0.0,2.0,80,"Rain shower(s), slight"
2024-07-12,05:00:00,Terengganu,Kuala Terengganu,5.3303,103.1408,24.9,96,0.0,1.8,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-12,05:00:00,Sarawak,Sibu,2.3,111.8167,24.0,100,0.0,0.8,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-12,05:00:00,Pahang,Kuantan,3.8167,103.3333,27.3,89,0.0,5.8,80,"Rain shower(s), slight"
2024-07-12,05:00:00,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,25.3,95,0.0,2.3,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-12,05:00:00,Sarawak,Miri,4.4028,113.9933,25.2,98,0.0,5.4,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-12,05:00:00,Selangor,Petaling Jaya,3.1073,101.6067,25.7,88,0.0,2.0,80,"Rain shower(s), slight"
2024-07-12,05:00:00,Melaka,Melaka,2.1889,102.2511,26.3,91,0.0,1.5,96,"Thunderstorm, slight or moderate, with hail** at time of observation  - Thunderstorm at time of observation"
2024-07-12,05:00:00,Terengganu,Cukai,4.2332,103.4479,27.1,90,0.0,9.0,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-07-12,05:00:00,Pulau Pinang,Butterworth,5.3992,100.3639,27.1,85,0.0,1.8,3,Clouds generally forming or developing
2024-07-12,05:00:00,Johor,Johor Bahru,1.4556,103.7611,26.8,89,0.0,1.9,2,State of sky on the whole unchanged
2024-07-12,05:00:00,Pahang,Raub,3.7931,101.8569,24.0,91,0.0,2.3,3,Clouds generally forming or developing
2024-07-12,05:00:00,Johor,Kluang,2.0336,103.3194,24.4,90,0.0,1.6,2,State of sky on the whole unchanged
2024-07-12,05:00:00,Johor,Muar,2.05,102.56,27.3,90,0.0,2.5,3,Clouds generally forming or developing
2024-07-12,05:00:00,Perak,Teluk Intan,4.0259,101.0213,25.2,90,0.0,4.1,80,"Rain shower(s), slight"
2024-07-12,05:00:00,Pahang,Kuala Lipis,4.184,102.042,24.6,95,0.0,2.5,80,"Rain shower(s), slight"
2024-07-12,05:00:00,Sabah,Lahad Datu,5.03,118.34,25.4,94,0.0,3.3,3,Clouds generally forming or developing
2024-07-12,05:00:00,Kedah,Alor Setar,6.1167,100.3667,25.8,92,0.0,2.9,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-07-12,05:00:00,Perak,Ipoh,4.6,101.07,25.1,90,0.0,0.5,3,Clouds generally forming or developing
2024-07-12,05:00:00,Perlis,Kangar,6.4333,100.2,25.7,97,0.0,2.9,80,"Rain shower(s), slight"
2024-07-12,05:00:00,Johor,Batu Pahat,1.85,102.93,25.5,94,0.0,2.7,2,State of sky on the whole unchanged
2024-07-12,05:00:00,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,26.0,84,0.0,1.8,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-07-12,05:00:00,Putrajaya,Putrajaya,2.93,101.69,25.0,94,0.0,2.3,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-07-12,05:00:00,Pulau Pinang,George Town,5.4145,100.3292,27.1,85,0.0,1.8,3,Clouds generally forming or developing
2024-07-12,05:00:00,Selangor,Klang,3.0333,101.45,25.4,93,0.0,3.2,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-07-12,05:00:00,Perak,Taiping,4.85,100.7333,27.1,88,0.0,2.5,3,Clouds generally forming or developing
2024-07-12,05:00:00,Sabah,Tawau,4.2448,117.8911,25.8,93,0.0,5.4,3,Clouds generally forming or developing
2024-07-12,05:00:00,Negeri Sembilan,Seremban,2.7297,101.9381,25.6,92,0.0,1.1,80,"Rain shower(s), slight"
2024-07-12,04:00:00,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,26.2,84,0.0,2.7,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-07-12,04:00:00,Labuan,Labuan,5.2803,115.2475,25.8,93,0.0,4.9,80,"Rain shower(s), slight"
2024-07-12,04:00:00,Johor,Kluang,2.0336,103.3194,24.5,89,0.0,2.1,2,State of sky on the whole unchanged
2024-07-12,04:00:00,Kedah,Sungai Petani,5.65,100.48,25.6,93,0.0,1.9,3,Clouds generally forming or developing
2024-07-12,04:00:00,Selangor,Shah Alam,3.0833,101.5333,26.0,85,0.0,2.3,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-07-12,04:00:00,Pahang,Kuantan,3.8167,103.3333,27.6,89,0.0,7.7,3,Clouds generally forming or developing
2024-07-12,04:00:00,Perak,Teluk Intan,4.0259,101.0213,25.3,90,0.0,4.0,80,"Rain shower(s), slight"
2024-07-12,04:00:00,Johor,Batu Pahat,1.85,102.93,25.9,93,0.0,3.4,2,State of sky on the whole unchanged
2024-07-12,04:00:00,Sabah,Kota Kinabalu,5.975,116.0725,26.3,78,0.0,6.3,3,Clouds generally forming or developing
2024-07-12,04:00:00,Pulau Pinang,Butterworth,5.3992,100.3639,27.2,85,0.0,2.1,80,"Rain shower(s), slight"
2024-07-12,04:00:00,Negeri Sembilan,Seremban,2.7297,101.9381,25.8,90,0.0,2.3,80,"Rain shower(s), slight"
2024-07-12,04:00:00,Kedah,Alor Setar,6.1167,100.3667,26.0,92,0.0,2.2,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-07-12,04:00:00,Pulau Pinang,George Town,5.4145,100.3292,27.1,85,0.0,2.1,80,"Rain shower(s), slight"
2024-07-12,04:00:00,Perak,Ipoh,4.6,101.07,25.2,89,0.0,1.1,3,Clouds generally forming or developing
2024-07-12,04:00:00,Johor,Johor Bahru,1.4556,103.7611,27.0,88,0.0,3.1,2,State of sky on the whole unchanged
2024-07-12,04:00:00,Selangor,Klang,3.0333,101.45,25.7,93,0.0,2.2,96,"Thunderstorm, slight or moderate, with hail** at time of observation  - Thunderstorm at time of observation"
2024-07-12,04:00:00,Kelantan,Kota Bharu,6.1333,102.25,24.5,92,0.0,4.5,3,Clouds generally forming or developing
2024-07-12,04:00:00,Melaka,Melaka,2.1889,102.2511,26.7,89,0.0,2.6,96,"Thunderstorm, slight or moderate, with hail** at time of observation  - Thunderstorm at time of observation"
2024-07-12,04:00:00,Selangor,Petaling Jaya,3.1073,101.6067,26.0,85,0.0,2.3,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-07-12,04:00:00,Putrajaya,Putrajaya,2.93,101.69,25.1,93,0.0,3.4,96,"Thunderstorm, slight or moderate, with hail** at time of observation  - Thunderstorm at time of observation"
2024-07-12,04:00:00,Terengganu,Cukai,4.2332,103.4479,27.4,90,0.0,9.3,3,Clouds generally forming or developing
2024-07-12,04:00:00,Sabah,Lahad Datu,5.03,118.34,25.5,94,0.0,3.3,3,Clouds generally forming or developing
2024-07-12,04:00:00,Pahang,Raub,3.7931,101.8569,24.4,87,0.0,2.3,3,Clouds generally forming or developing
2024-07-12,04:00:00,Terengganu,Kuala Terengganu,5.3303,103.1408,25.2,94,0.0,1.8,3,Clouds generally forming or developing
2024-07-12,04:00:00,Sabah,Tawau,4.2448,117.8911,25.8,93,0.0,6.2,3,Clouds generally forming or developing
2024-07-12,04:00:00,Sarawak,Miri,4.4028,113.9933,25.3,98,0.0,4.8,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-12,04:00:00,Johor,Muar,2.05,102.56,27.4,89,0.0,3.5,3,Clouds generally forming or developing
2024-07-12,04:00:00,Sarawak,Sibu,2.3,111.8167,24.1,100,0.0,1.1,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-12,04:00:00,Sarawak,Kuching,1.5397,110.3542,24.6,91,0.0,2.2,3,Clouds generally forming or developing
2024-07-12,04:00:00,Sarawak,Bintulu,3.17,113.03,25.3,98,0.0,3.3,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-12,04:00:00,Perak,Taiping,4.85,100.7333,27.2,88,0.0,2.8,3,Clouds generally forming or developing
2024-07-12,04:00:00,Sabah,Sandakan,5.8388,118.1173,23.7,99,0.0,2.3,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-12,04:00:00,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,25.6,93,0.0,2.4,3,Clouds generally forming or developing
2024-07-12,04:00:00,Perlis,Kangar,6.4333,100.2,26.0,96,0.0,1.5,3,Clouds generally forming or developing
2024-07-12,04:00:00,Pahang,Kuala Lipis,4.184,102.042,24.8,95,0.0,1.5,3,Clouds generally forming or developing
2024-07-12,03:00:00,Kelantan,Kota Bharu,6.1333,102.25,24.6,91,0.0,5.4,80,"Rain shower(s), slight"
2024-07-12,03:00:00,Pulau Pinang,Butterworth,5.3992,100.3639,27.4,85,0.0,2.1,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-07-12,03:00:00,Selangor,Klang,3.0333,101.45,25.9,90,0.0,5.3,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-07-12,03:00:00,Sabah,Tawau,4.2448,117.8911,25.8,93,0.0,5.8,3,Clouds generally forming or developing
2024-07-12,03:00:00,Johor,Muar,2.05,102.56,27.5,89,0.0,5.9,2,State of sky on the whole unchanged
2024-07-12,03:00:00,Johor,Kluang,2.0336,103.3194,24.8,86,0.0,3.2,2,State of sky on the whole unchanged
2024-07-12,03:00:00,Selangor,Petaling Jaya,3.1073,101.6067,26.7,81,0.0,3.1,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-07-12,03:00:00,Johor,Batu Pahat,1.85,102.93,26.5,90,0.0,3.2,2,State of sky on the whole unchanged
2024-07-12,03:00:00,Pahang,Kuantan,3.8167,103.3333,27.8,90,0.0,8.1,3,Clouds generally forming or developing
2024-07-12,03:00:00,Pahang,Raub,3.7931,101.8569,25.0,82,0.0,3.1,3,Clouds generally forming or developing
2024-07-12,03:00:00,Perak,Taiping,4.85,100.7333,27.4,88,0.0,4.1,3,Clouds generally forming or developing
2024-07-12,03:00:00,Perak,Ipoh,4.6,101.07,25.6,87,0.0,2.5,3,Clouds generally forming or developing
2024-07-12,03:00:00,Putrajaya,Putrajaya,2.93,101.69,25.4,91,0.0,3.3,80,"Rain shower(s), slight"
2024-07-12,03:00:00,Kedah,Sungai Petani,5.65,100.48,25.8,92,0.0,1.9,80,"Rain shower(s), slight"
2024-07-12,03:00:00,Kedah,Alor Setar,6.1167,100.3667,26.2,91,0.0,2.2,80,"Rain shower(s), slight"
2024-07-12,03:00:00,Sabah,Lahad Datu,5.03,118.34,25.7,94,0.0,3.8,3,Clouds generally forming or developing
2024-07-12,03:00:00,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,25.9,92,0.0,3.3,3,Clouds generally forming or developing
2024-07-12,03:00:00,Pulau Pinang,George Town,5.4145,100.3292,27.3,85,0.0,2.1,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-07-12,03:00:00,Pahang,Kuala Lipis,4.184,102.042,25.0,94,0.0,1.8,3,Clouds generally forming or developing
