weathercode,description,time,temperature_2m,relativehumidity_2m,rain,windspeed_10m,state,city,latitude,longitude,date
3,Clouds generally forming or developing,10:00:00,26.9,66,0.0,7.6,Kedah,Alor Setar,6.1167,100.3667,2025-02-10
3,Clouds generally forming or developing,10:00:00,27.0,75,0.0,8.7,Perlis,Kangar,6.4333,100.2,2025-02-10
3,Clouds generally forming or developing,10:00:00,27.3,81,0.0,3.9,Perak,Teluk Intan,4.0259,101.0213,2025-02-10
1,Clouds generally dissolving or becoming less developed,10:00:00,27.9,64,0.0,14.8,Negeri Sembilan,Seremban,2.7297,101.9381,2025-02-10
3,Clouds generally forming or developing,10:00:00,27.7,80,0.0,9.8,Labuan,Labuan,5.2803,115.2475,2025-02-10
2,State of sky on the whole unchanged,10:00:00,26.8,74,0.0,18.8,Pahang,Kuantan,3.8167,103.3333,2025-02-10
3,Clouds generally forming or developing,10:00:00,26.7,82,0.0,10.2,Sarawak,Kuching,1.5397,110.3542,2025-02-10
1,Clouds generally dissolving or becoming less developed,10:00:00,26.2,81,0.0,9.4,Johor,Batu Pahat,1.85,102.93,2025-02-10
3,Clouds generally forming or developing,10:00:00,26.8,85,0.0,6.3,Sarawak,Sibu,2.3,111.8167,2025-02-10
3,Clouds generally forming or developing,10:00:00,27.8,73,0.0,5.7,Pulau Pinang,Butterworth,5.3992,100.3639,2025-02-10
1,Clouds generally dissolving or becoming less developed,10:00:00,27.7,72,0.0,5.6,Selangor,Klang,3.0333,101.45,2025-02-10
3,Clouds generally forming or developing,10:00:00,27.6,65,0.0,5.4,Kedah,Sungai Petani,5.65,100.48,2025-02-10
3,Clouds generally forming or developing,10:00:00,28.2,82,0.0,3.3,Sabah,Tawau,4.2448,117.8911,2025-02-10
3,Clouds generally forming or developing,10:00:00,27.1,72,0.0,17.1,Terengganu,Cukai,4.2332,103.4479,2025-02-10
2,State of sky on the whole unchanged,10:00:00,26.8,75,0.0,19.5,Johor,Muar,2.05,102.56,2025-02-10
3,Clouds generally forming or developing,10:00:00,27.4,70,0.0,3.8,Perak,Ipoh,4.6,101.07,2025-02-10
2,State of sky on the whole unchanged,10:00:00,26.1,80,0.0,20.6,Johor,Kluang,2.0336,103.3194,2025-02-10
3,Clouds generally forming or developing,10:00:00,25.9,79,0.0,8.7,Kelantan,Kota Bharu,6.1333,102.25,2025-02-10
3,Clouds generally forming or developing,10:00:00,26.3,76,0.0,4.3,Pahang,Kuala Lipis,4.184,102.042,2025-02-10
2,State of sky on the whole unchanged,10:00:00,28.8,76,0.0,4.3,Sabah,Kota Kinabalu,5.975,116.0725,2025-02-10
3,Clouds generally forming or developing,10:00:00,26.8,84,0.0,19.3,Sarawak,Miri,4.4028,113.9933,2025-02-10
2,State of sky on the whole unchanged,10:00:00,27.6,81,0.0,11.7,Sarawak,Bintulu,3.17,113.03,2025-02-10
1,Clouds generally dissolving or becoming less developed,10:00:00,28.0,70,0.0,3.3,Selangor,Shah Alam,3.0833,101.5333,2025-02-10
2,State of sky on the whole unchanged,10:00:00,27.7,77,0.0,4.2,Perak,Taiping,4.85,100.7333,2025-02-10
2,State of sky on the whole unchanged,10:00:00,27.5,71,0.0,10.0,Putrajaya,Putrajaya,2.93,101.69,2025-02-10
2,State of sky on the whole unchanged,10:00:00,26.6,75,0.0,14.5,Johor,Johor Bahru,1.4556,103.7611,2025-02-10
3,Clouds generally forming or developing,10:00:00,27.9,84,0.0,8.0,Sabah,Sandakan,5.8388,118.1173,2025-02-10
1,Clouds generally dissolving or becoming less developed,10:00:00,28.0,70,0.0,3.3,Selangor,Petaling Jaya,3.1073,101.6067,2025-02-10
1,Clouds generally dissolving or becoming less developed,10:00:00,28.8,61,0.0,9.8,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,2025-02-10
3,Clouds generally forming or developing,10:00:00,27.6,68,0.0,4.4,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,2025-02-10
3,Clouds generally forming or developing,10:00:00,27.8,73,0.0,5.7,Pulau Pinang,George Town,5.4145,100.3292,2025-02-10
3,Clouds generally forming or developing,10:00:00,25.6,83,0.0,4.8,Terengganu,Kuala Terengganu,5.3303,103.1408,2025-02-10
1,Clouds generally dissolving or becoming less developed,09:00:00,26.9,70,0.0,4.5,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,2025-02-10
3,Clouds generally forming or developing,09:00:00,24.9,75,0.0,4.7,Kedah,Alor Setar,6.1167,100.3667,2025-02-10
3,Clouds generally forming or developing,09:00:00,26.0,88,0.0,17.5,Sarawak,Miri,4.4028,113.9933,2025-02-10
3,Clouds generally forming or developing,09:00:00,26.4,86,0.0,4.4,Perak,Taiping,4.85,100.7333,2025-02-10
3,Clouds generally forming or developing,09:00:00,24.5,88,0.0,3.6,Terengganu,Kuala Terengganu,5.3303,103.1408,2025-02-10
3,Clouds generally forming or developing,09:00:00,25.7,90,0.0,5.2,Sarawak,Sibu,2.3,111.8167,2025-02-10
0,Cloud development not observed or not observable,09:00:00,24.7,86,0.0,5.6,Johor,Batu Pahat,1.85,102.93,2025-02-10
3,Clouds generally forming or developing,09:00:00,26.7,83,0.0,5.2,Pulau Pinang,Butterworth,5.3992,100.3639,2025-02-10
1,Clouds generally dissolving or becoming less developed,09:00:00,25.7,78,0.0,4.6,Putrajaya,Putrajaya,2.93,101.69,2025-02-10
2,State of sky on the whole unchanged,09:00:00,26.5,86,0.0,10.7,Sarawak,Bintulu,3.17,113.03,2025-02-10
3,Clouds generally forming or developing,09:00:00,26.6,83,0.0,5.2,Pulau Pinang,George Town,5.4145,100.3292,2025-02-10
3,Clouds generally forming or developing,09:00:00,27.2,86,0.0,4.8,Sabah,Tawau,4.2448,117.8911,2025-02-10
3,Clouds generally forming or developing,09:00:00,26.0,78,0.0,11.8,Terengganu,Cukai,4.2332,103.4479,2025-02-10
2,State of sky on the whole unchanged,09:00:00,27.8,81,0.0,2.6,Sabah,Kota Kinabalu,5.975,116.0725,2025-02-10
1,Clouds generally dissolving or becoming less developed,09:00:00,25.3,84,0.0,12.0,Johor,Muar,2.05,102.56,2025-02-10
3,Clouds generally forming or developing,09:00:00,27.2,82,0.0,10.2,Labuan,Labuan,5.2803,115.2475,2025-02-10
