Company Name,Type,List Updated
Ho Hup Construction Company Berhad,PN17,1 July 2026
Industronics Berhad,PN17,1 July 2026
Khee San Berhad,PN17,1 July 2026
Meridian Berhad,PN17,1 July 2026
"MMM Group Berhad (formerly known as Asia
  Media Group Berhad)",PN17,1 July 2026
Perak Corporation Bhd,PN17,1 July 2026
TXCD Berhad (formerly known as Ageson Berhad),PN17,1 July 2026
Zelan Berhad,PN17,1 July 2026
Asdion Berhad,GN3,1 July 2026
Lambo Group Berhad,GN3,1 July 2026
LYC Healthcare Berhad,GN3,1 July 2026
SMTrack Berhad,GN3,1 July 2026
Waja Konsortium Berhad,GN3,1 July 2026
