date,time,Coal,Gas,CoGen,Oil,Hydro,Solar
2024-03-29,00:00:00,9670,7498,38,0,446,0
2024-03-29,00:10:00,9619,7391,36,0,505,0
2024-03-29,00:20:00,9568,7307,32,0,633,0
2024-03-29,00:30:00,9550,7234,34,0,546,0
2024-03-29,00:40:00,9547,7079,38,0,455,0
2024-03-29,00:00:00,9670,7498,38,0,446,0
2024-03-29,00:10:00,9619,7391,36,0,505,0
2024-03-29,00:20:00,9568,7307,32,0,633,0
2024-03-29,00:30:00,9550,7234,34,0,546,0
2024-03-29,00:40:00,9547,7079,38,0,455,0
2024-03-29,00:50:00,9572,6976,28,0,470,0
2024-03-29,01:00:00,9648,6907,38,0,466,0
2024-03-29,01:10:00,9761,6646,38,0,443,-1
2024-03-29,01:20:00,9821,6459,39,0,397,0
2024-03-29,01:30:00,9814,6352,40,0,409,0
2024-03-29,01:40:00,9820,6204,42,0,345,0
2024-03-29,00:00:00,9670,7498,38,0,446,0
2024-03-29,00:10:00,9619,7391,36,0,505,0
2024-03-29,00:20:00,9568,7307,32,0,633,0
2024-03-29,00:30:00,9550,7234,34,0,546,0
2024-03-29,00:40:00,9547,7079,38,0,455,0
2024-03-29,00:50:00,9572,6976,28,0,470,0
2024-03-29,01:00:00,9648,6907,38,0,466,0
2024-03-29,01:10:00,9761,6646,38,0,443,-1
2024-03-29,01:20:00,9821,6459,39,0,397,0
2024-03-29,01:30:00,9814,6352,40,0,409,0
2024-03-29,01:40:00,9820,6204,42,0,345,0
2024-03-29,01:50:00,9814,6214,41,0,348,0
2024-03-29,02:00:00,9795,6130,41,0,348,0
2024-03-29,02:10:00,9804,6021,37,0,352,0
2024-03-29,02:20:00,9810,5906,41,0,347,0
2024-03-29,02:30:00,9790,5898,37,0,350,0
2024-03-29,02:40:00,9803,5853,39,0,350,0
2024-03-29,00:00:00,9670,7498,38,0,446,0
2024-03-29,00:10:00,9619,7391,36,0,505,0
2024-03-29,00:20:00,9568,7307,32,0,633,0
2024-03-29,00:30:00,9550,7234,34,0,546,0
2024-03-29,00:40:00,9547,7079,38,0,455,0
2024-03-29,00:50:00,9572,6976,28,0,470,0
2024-03-29,01:00:00,9648,6907,38,0,466,0
2024-03-29,01:10:00,9761,6646,38,0,443,-1
2024-03-29,01:20:00,9821,6459,39,0,397,0
2024-03-29,01:30:00,9814,6352,40,0,409,0
2024-03-29,01:40:00,9820,6204,42,0,345,0
2024-03-29,01:50:00,9814,6214,41,0,348,0
2024-03-29,02:00:00,9795,6130,41,0,348,0
2024-03-29,02:10:00,9804,6021,37,0,352,0
