date,time,Coal,Gas,CoGen,Oil,Hydro,Solar
2025-12-26,00:00:00,9474,5380,67,0,1281,0
2025-12-26,00:10:00,9457,5313,67,0,1308,0
2025-12-26,00:20:00,9426,5301,54,0,1286,0
2025-12-26,00:30:00,9412,5266,44,0,1265,0
2025-12-26,00:40:00,9381,5244,30,0,1216,-1
2025-12-26,00:50:00,9332,5239,56,0,1183,-1
2025-12-26,01:00:00,9375,5184,54,0,1141,0
2025-12-26,01:10:00,9359,5150,46,0,891,0
2025-12-26,01:20:00,9343,5135,42,0,893,0
2025-12-26,01:30:00,9295,5132,55,0,889,0
2025-12-26,01:40:00,9283,4966,36,0,892,0
2025-12-26,01:50:00,9259,4998,52,0,816,0
2025-12-26,02:00:00,9251,4960,51,0,806,0
2025-12-26,02:10:00,9254,5046,34,0,565,0
2025-12-26,02:20:00,9238,5025,51,0,550,0
2025-12-26,02:30:00,9214,4983,52,0,558,0
2025-12-26,02:40:00,9214,4972,31,0,556,0
2025-12-26,02:50:00,9201,4895,47,0,539,0
2025-12-26,03:00:00,9083,4957,49,0,502,0
2025-12-26,03:10:00,8948,4964,49,0,503,0
2025-12-26,03:20:00,8901,4971,73,0,498,0
2025-12-26,03:30:00,8891,4934,68,0,495,0
2025-12-26,03:40:00,8884,4827,81,0,492,0
2025-12-26,03:50:00,8884,4778,79,0,540,0
2025-12-26,04:00:00,8890,4728,67,0,504,0
2025-12-26,04:10:00,8825,4701,76,0,511,0
2025-12-26,04:20:00,8775,4703,77,0,511,-1
2025-12-26,04:30:00,8776,4699,78,0,512,-1
2025-12-26,04:40:00,8774,4666,79,0,509,0
2025-12-26,04:50:00,8783,4636,80,0,505,0
2025-12-26,05:00:00,8758,4629,78,0,505,0
2025-12-26,05:10:00,8708,4653,77,0,507,0
2025-12-26,05:20:00,8677,4686,64,0,510,0
2025-12-26,05:30:00,8660,4703,58,0,510,-1
2025-12-26,05:40:00,8642,4707,61,0,525,-1
2025-12-26,05:50:00,8651,4715,49,0,567,0
2025-12-26,06:00:00,8634,4722,47,0,590,0
2025-12-26,06:10:00,8639,4740,46,0,691,0
2025-12-26,06:20:00,8638,4700,51,0,714,0
2025-12-26,06:30:00,8647,4711,49,0,772,-1
2025-12-26,06:40:00,8634,4726,70,0,808,0
2025-12-26,06:50:00,8646,4704,71,0,807,0
2025-12-26,07:00:00,8640,4728,29,0,856,0
2025-12-26,07:10:00,8692,4731,51,0,882,0
2025-12-26,07:20:00,8826,4871,49,0,656,-1
2025-12-26,07:30:00,8861,4873,17,0,660,1
2025-12-26,07:40:00,8880,4901,35,0,663,16
2025-12-26,07:50:00,8886,4900,57,0,703,40
2025-12-26,08:00:00,8916,4960,23,0,810,60
